Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins
Seychelles,CAF,196,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,CAF,202,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,CAF,204,0.27,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,CONCACAF,9,1.35,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,CONCACAF,15,1.15,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CONCACAF,31,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CONCACAF,38,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,CONCACAF,61,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,CONCACAF,64,0.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,CONCACAF,74,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,CONCACAF,79,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,CONCACAF,82,0.7,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,CONCACAF,90,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,CONCACAF,102,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,CONCACAF,118,0.43,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,CONCACAF,127,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,CONCACAF,141,0.45,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,CONCACAF,142,0.35,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,CONCACAF,144,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,CONCACAF,155,0.4,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,CONCACAF,163,0.35,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,CONCACAF,167,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,CONCACAF,170,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,CONCACAF,172,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,CONCACAF,173,0.35,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,CONCACAF,174,0.3,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,CONCACAF,175,0.25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lucia,CONCACAF,176,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,CONCACAF,177,0.5,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,CONCACAF,178,0.2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,CONCACAF,184,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,CONCACAF,195,0.12,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,CONCACAF,200,0.14,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,CONCACAF,201,0.25,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,CONCACAF,206,0.15,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
US Virgin Islands,CONCACAF,208,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,CONCACAF,209,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,CONCACAF,210,0.15,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,CONMEBOL,1,1.85,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,CONMEBOL,4,1.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,CONMEBOL,13,1.55,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,CONMEBOL,17,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,CONMEBOL,22,1.2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CONMEBOL,29,1.2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,CONMEBOL,46,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,CONMEBOL,50,1.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,CONMEBOL,58,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,CONMEBOL,78,0.8,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,OFC,101,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,OFC,137,0.45,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,OFC,160,0.24,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,OFC,162,0.2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahiti,OFC,164,0.23,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,OFC,165,0.22,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,OFC,166,0.21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,OFC,189,0.14,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,OFC,190,0.11,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,OFC,193,0.13,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,OFC,199,0.12,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,UEFA,2,1.75,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0
France,UEFA,3,1.9,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0
England,UEFA,5,1.55,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,UEFA,6,1.45,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,UEFA,7,1.85,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,UEFA,8,1.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,UEFA,10,1.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,UEFA,11,1.3,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
