Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num
Central African Republic,CAF,131,0.7,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,Central African Republic (the),CAF,140
Sudan,CAF,132,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Sudan (the),SDN,729
Rwanda,CAF,136,0.62,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Rwanda,RWA,646
Burundi,CAF,139,0.57,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,Burundi,BDI,108
Ethiopia,CAF,140,0.52,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Ethiopia,ETH,231
Eswatini,CAF,143,0.47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Eswatini,SWZ,748
Lesotho,CAF,145,0.53,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Lesotho,LSO,426
Botswana,CAF,148,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Botswana,BWA,72
Liberia,CAF,149,0.64,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,Liberia,LBR,430
South Sudan,CAF,161,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,South Sudan,SSD,728
Mauritius,CAF,179,0.45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Mauritius,MUS,480
Chad,CAF,181,0.42,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad,TCD,148
Sao Tome and Principe,CAF,183,0.33,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Tome and Principe,STP,678
Djibouti,CAF,194,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,Djibouti,DJI,262
Seychelles,CAF,196,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,Seychelles,SYC,690
Somalia,CAF,202,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Somalia,SOM,706
Eritrea,CAF,204,0.27,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,Eritrea,ERI,232
Mexico,CONCACAF,9,1.35,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexico,MEX,484
USA,CONCACAF,15,1.15,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,United States of America (the),USA,840
Costa Rica,CONCACAF,31,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,CRI,188
Canada,CONCACAF,38,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,CAN,124
Panama,CONCACAF,61,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Panama,PAN,591
Jamaica,CONCACAF,64,0.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Jamaica,JAM,388
El Salvador,CONCACAF,74,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,El Salvador,SLV,222
Curacao,CONCACAF,79,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Curaçao,CUW,531
