,Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num,GFPG,GAPG,CS%,WC_GFPG,WC_GAPG
41,Brunei,AFC,191,0.27,0.25,527.0,310.0,1081.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brunei Darussalam,BRN,96.0,0.5882352941176471,2.0512333965844403,0.17267552182163187,,
42,Pakistan,AFC,197,0.22,0.2,606.0,353.0,1523.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,PAK,586.0,0.5825082508250825,2.5132013201320134,0.1848184818481848,,
43,Timor-Leste,AFC,198,0.22,0.22,638.0,364.0,1428.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Timor-Leste,TLS,626.0,0.5705329153605015,2.238244514106583,0.20689655172413793,,
44,Sri Lanka,AFC,205,0.2,0.2,616.0,345.0,1504.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,LKA,144.0,0.560064935064935,2.4415584415584415,0.16396103896103897,,
45,Guam,AFC,207,0.21,0.2,632.0,369.0,1536.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guam,GUM,316.0,0.5838607594936709,2.430379746835443,0.17405063291139242,,
46,Senegal,CAF,20,1.3,1.3,1043.0,1702.0,686.0,555.0,263.0,300.0,224.0,56.0,38.0,20.0,9.0,5.0,2.0,Senegal,SEN,686.0,1.6318312559923298,0.6577181208053692,0.5321188878235859,1.1406844106463878,0.8517110266159695
47,Morocco,CAF,24,1.1,1.25,904.0,1277.0,588.0,494.0,155.0,124.0,165.0,40.0,11.0,6.0,5.0,3.0,0.0,Morocco,MAR,504.0,1.4126106194690264,0.6504424778761062,0.5464601769911505,0.8,1.064516129032258
48,Nigeria,CAF,30,1.25,1.1,918.0,1487.0,713.0,438.0,162.0,167.0,208.0,41.0,16.0,11.0,4.0,0.0,0.0,Nigeria,NGA,566.0,1.6198257080610021,0.7766884531590414,0.477124183006536,1.0308641975308641,1.2839506172839505
49,Egypt,CAF,32,1.2,1.15,899.0,1378.0,673.0,436.0,141.0,128.0,180.0,38.0,16.0,7.0,1.0,0.0,0.0,Egypt,EGY,818.0,1.5328142380422691,0.7486095661846496,0.4849833147942158,0.9078014184397163,1.2765957446808511
50,Tunisia,CAF,35,1.05,1.2,884.0,1287.0,637.0,453.0,127.0,101.0,157.0,35.0,12.0,3.0,2.0,1.0,0.0,Tunisia,TUN,788.0,1.4558823529411764,0.7205882352941176,0.5124434389140271,0.7952755905511811,1.236220472440945
51,Cameroon,CAF,37,1.15,1.1,894.0,1397.0,682.0,437.0,137.0,139.0,173.0,38.0,11.0,4.0,2.0,1.0,0.0,Cameroon,CMR,120.0,1.5626398210290828,0.7628635346756152,0.4888143176733781,1.0145985401459854,1.2627737226277371
